Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,after_z1,after_z2,after_z3,after_z4,before_z1,before_z2,before_z3,before_z4
77,0.8437457172958939,0.09219181841170346,-1.95706413631086,1.6874914401107364,1.475648076445968,2.5417108828270876,0.83327199794628,1.6874914401107364,1.098722327293621,1.098722327293621,3,3,3,3,16,16,16,16
78,0.8471862436444672,0.09286918228975048,-1.9618200527297125,1.694372511572308,1.4941881100336711,2.562806522404706,0.8259384863906436,1.694372511572308,0.9959012376903383,0.9959012376903383,3,3,3,3,16,16,16,16
79,0.8632039803045767,0.09332012040195642,-1.954595113242114,1.7264079440523077,1.4753181128590196,2.6007971322094954,0.852018768036807,1.7264079440523077,1.0012534804711188,1.0012534804711188,3,3,3,3,16,16,16,16
80,0.8612410045332379,0.09265818667632562,-1.9569863632873252,1.7224820289346907,1.466024570994907,2.6038705198853105,0.8410935423992298,1.7224820289346907,0.9525820918519188,0.9525820918519188,3,3,3,3,16,16,16,16
81,0.8481642675620539,0.09262711941092103,-1.9576028651661344,1.6963285185672619,1.51738280499423,2.5614781512154474,0.8311788715698101,1.6963285185672619,0.9383187319014084,0.9383187319014084,2,2,2,2,16,16,16,16
82,0.8360467522784516,0.09110676069502477,-1.9595258059325042,1.6720934830330036,1.4988269430619698,2.5137033749509743,0.8304836926636873,1.6720934830330036,1.054270437953097,1.054270437953097,3,3,3,3,16,16,16,16
83,0.8357899972686061,0.09160387860956015,-1.9612153437402513,1.671580023235745,1.5351471536689334,2.5160625786693007,0.8270974545567124,1.671580023235745,1.0250634696265613,1.0250634696265613,3,3,3,3,16,16,16,16
84,0.8331373731295267,0.09132822616784661,-1.9611796030291804,1.6662747451552637,1.541662656598621,2.5053565590469926,0.8271928738664698,1.6662747451552637,1.0442760197652712,1.0442760197652712,2,2,2,2,16,16,16,16
85,0.8447462756324697,0.09085968122990043,-1.9594359199206035,1.6894925269815657,1.5180593574488606,2.5509586521872767,0.8280264696589222,1.6894925269815657,1.1156125831314259,1.1156125831314259,3,3,3,3,16,16,16,16
86,0.8508401430315442,0.09200218885585114,-1.9564865032831829,1.701680267298663,1.5453844125624057,2.580093816474632,0.8232667203302737,1.701680267298663,0.9859759642018212,0.9859759642018212,3,3,3,3,16,16,16,16
87,0.8422285815080007,0.09101821137247262,-1.95567606555091,1.6844571922664289,1.5132114247039512,2.539442852691368,0.8294715241149619,1.6844571922664289,1.0452988004932802,1.0452988004932802,3,3,3,3,16,16,16,16
88,0.8408181407937297,0.09106186197863685,-1.9588908244062353,1.6816363102859921,1.5200595204476957,2.5344701596984156,0.8288024647368325,1.6816363102859921,1.0871835676608261,1.0871835676608261,3,3,3,3,16,16,16,16
