epoch,model_name,kl1,kl2,loss_rec,loss_cor,spec_total_loss,psnr,total_smoothness_loss,total_freq_weighted_loss,z1_private,z1_share,z_sample
76,JointCNNBasedVAE,0.0,0.0,5.300692282617092e-05,0.0,0.000807026110123843,0.6316199898719788,0.00011570246715564281,0.00018762420222628862,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
77,JointCNNBasedVAE,0.0,0.0,5.4567179176956415e-05,0.0,0.0008192489040084183,0.6304425001144409,0.00010065963579108939,0.00018918571004178375,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
78,JointCNNBasedVAE,0.0,0.0,7.46766381780617e-05,0.0,0.0009810210904106498,0.6177085638046265,1.5472349332412705e-05,0.00022472557611763477,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
79,JointCNNBasedVAE,0.0,0.0,6.738978117937222e-05,0.0,0.0009724640985950828,0.6218759417533875,0.0003079087764490396,0.0002203987678512931,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
80,JointCNNBasedVAE,0.0,0.0,7.08874940755777e-05,0.0,0.0009650707943364978,0.6198221445083618,0.00012924562906846404,0.00022786551562603563,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
81,JointCNNBasedVAE,0.0,0.0,7.129213190637529e-05,0.0,0.000965277140494436,0.6195911169052124,7.559554069302976e-05,0.0002317155449418351,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
82,JointCNNBasedVAE,0.0,0.0,4.3033909605583176e-05,0.0,0.0007141073001548648,0.640079915523529,1.5509392596868565e-06,0.00016841349133756012,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
83,JointCNNBasedVAE,0.0,0.0,7.242130959639326e-05,0.0,0.0009612252470105886,0.618953287601471,1.808276829251554e-05,0.00022847608488518745,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
84,JointCNNBasedVAE,0.0,0.0,4.8117461119545624e-05,0.0,0.0007728197379037738,0.6355479955673218,3.8593727367697284e-05,0.00018512041424401104,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
85,JointCNNBasedVAE,0.0,0.0,7.711849320912734e-05,0.0,0.001003106008283794,0.6164026260375977,0.00010430596739752218,0.00022634702327195555,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
86,JointCNNBasedVAE,0.0,0.0,8.622176392236724e-05,0.0,0.0010417167795822024,0.6118738055229187,4.3879408622160554e-05,0.00023309217067435384,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
87,JointCNNBasedVAE,0.0,0.0,6.175118323881179e-05,0.0,0.0008778968476690352,0.6254225969314575,1.7061132666640333e-06,0.0002173184184357524,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
88,JointCNNBasedVAE,0.0,0.0,7.293778617167845e-05,0.0,0.0009667242993600667,0.6186648607254028,6.994006253080443e-05,0.00022683499264530838,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
89,JointCNNBasedVAE,0.0,0.0,6.010438301018439e-05,0.0,0.0008656535064801574,0.6265196800231934,8.546237222617492e-05,0.0001983304973691702,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
90,JointCNNBasedVAE,0.0,0.0,6.311493780231103e-05,0.0,0.0008681907202117145,0.6245359182357788,2.4211253730754834e-06,0.00020469483570195735,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
91,JointCNNBasedVAE,0.0,0.0,6.500307063106447e-05,0.0,0.0009082479518838227,0.6233394742012024,2.869984382414259e-05,0.00021118707081768662,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
92,JointCNNBasedVAE,0.0,0.0,4.1199604311259463e-05,0.0,0.000710454594809562,0.6418479681015015,4.379048914415762e-05,0.00016579905059188604,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
93,JointCNNBasedVAE,0.0,0.0,6.155831943033263e-05,0.0,0.0008660288876853883,0.6255495548248291,1.5953642105159815e-06,0.00020499565289355814,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
94,JointCNNBasedVAE,0.0,0.0,7.543549872934818e-05,0.0,0.000991798471659422,0.6172981262207031,8.62509841681458e-05,0.000221638212678954,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
95,JointCNNBasedVAE,0.0,0.0,6.592885620193556e-05,0.0,0.0009767443407326937,0.6227654814720154,0.0003704469418153167,0.00021711776207666844,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
96,JointCNNBasedVAE,0.0,0.0,6.44697793177329e-05,0.0,0.0009290750022046268,0.6236737966537476,0.00020271510584279895,0.00021349296730477363,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
97,JointCNNBasedVAE,0.0,0.0,6.93891488481313e-05,0.0,0.000957389478571713,0.6206892132759094,9.454465907765552e-05,0.00023537446395494044,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
98,JointCNNBasedVAE,0.0,0.0,6.219035276444629e-05,0.0,0.0009096991270780563,0.6251348853111267,0.0001868720428319648,0.0002064869477180764,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
99,JointCNNBasedVAE,0.0,0.0,5.5667107517365366e-05,0.0,0.0008477629744447768,0.6296325325965881,7.562460814369842e-05,0.00020078380475752056,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
100,JointCNNBasedVAE,0.0,0.0,6.37372795608826e-05,0.0,0.0008990152855403721,0.6241376399993896,0.00010228024621028453,0.00020878436043858528,"torch.Size([3, 10])","torch.Size([3, 10])","torch.Size([3, 20])"
